product_slug,product_name,category,headline,seo_title,seo_description,is_published,source_file,body_chars
iphone-17,iPhone 17,buying_guide,iPhone 17 Review: Apple's Most Refined Base Model Yet,iPhone 17 Review: Best Base iPhone 2026 | Affordable Gadgets KE,"The iPhone 17 raises the bar for base iPhones with the A19 chip, 48MP camera, and longer battery life. Read our full review. Available at Affordable Gadgets KE.",True,blog_content/batches/003-apple-iphone-17/001-iphone-17.json,2138
iphone-17-pro,iPhone 17 Pro,buying_guide,iPhone 17 Pro Review: The Pro iPhone That Does It All,iPhone 17 Pro Review: Apple's Pro Power 2026 | Affordable Gadgets KE,"The iPhone 17 Pro brings the A19 Pro chip, upgraded camera system, and titanium design. Read our full review. Available at Affordable Gadgets KE.",True,blog_content/batches/003-apple-iphone-17/002-iphone-17-pro.json,1920
iphone-17-pro-max,iPhone 17 Pro Max,buying_guide,"iPhone 17 Pro Max Review: Apple's Most Powerful Phone, Period",iPhone 17 Pro Max Review: Best Phone 2026 | Affordable Gadgets KE,"The iPhone 17 Pro Max is Apple's ultimate smartphone with A19 Pro, 6.9-inch display, and the best camera system. Read our full review at Affordable Gadgets KE.",True,blog_content/batches/003-apple-iphone-17/003-iphone-17-pro-max.json,2136
iphone-17e,iPhone 17e,buying_guide,iPhone 17e Review: Apple's Affordable Powerhouse Gets Even Better,iPhone 17e Review: Best Budget iPhone 2026 | Affordable Gadgets KE,The iPhone 17e brings the A19 chip and improved camera to Apple's most affordable lineup. Read our full review. Available at Affordable Gadgets KE.,True,blog_content/batches/003-apple-iphone-17/004-iphone-17e.json,1999
iphone-air,iPhone Air,buying_guide,"iPhone Air Review: The Thinnest iPhone Ever, Now in Kenya",iPhone Air Review: Thinnest iPhone Ever | Affordable Gadgets KE,"The iPhone Air is Apple's thinnest and lightest iPhone yet. We review its unique design, A19 chip, and camera. Available at Affordable Gadgets KE.",True,blog_content/batches/003-apple-iphone-17/005-iphone-air.json,2150
iphone-15,iPhone 15,buying_guide,iPhone 15 Review: Why It's Still a Great Buy in 2026,iPhone 15 Review: Still Worth It in 2026? | Affordable Gadgets KE,"Is the iPhone 15 still a good buy in 2026? We review its Dynamic Island, 48MP camera, A16 chip, and USB-C to help you decide. Available at Affordable Gadgets KE.",True,blog_content/batches/004-apple-iphone-15-series/001-iphone-15.json,1726
iphone-15-plus,iPhone 15 Plus,buying_guide,"iPhone 15 Plus Review: Big Battery, Big Screen, Big Value",iPhone 15 Plus Review: Value Big iPhone 2026 | Affordable Gadgets KE,"The iPhone 15 Plus offers the largest battery in the 15 series. Read our full review of its 6.7-inch display, A16 chip, and value in 2026. Available at Affordable Gadgets KE.",True,blog_content/batches/004-apple-iphone-15-series/002-iphone-15-plus.json,1673
iphone-15-pro,iPhone 15 Pro,buying_guide,"iPhone 15 Pro Review: The First Titanium iPhone, Still a Beast in 2026",iPhone 15 Pro Review: Titanium iPhone Value 2026 | Affordable Gadgets KE,The iPhone 15 Pro introduced titanium and the A17 Pro chip. We review if it's still worth buying in 2026. Available at Affordable Gadgets KE.,True,blog_content/batches/004-apple-iphone-15-series/003-iphone-15-pro.json,1800
iphone-15-pro-max,iPhone 15 Pro Max,buying_guide,"iPhone 15 Pro Max Review: The First 5x Zoom iPhone, Still a Flagship",iPhone 15 Pro Max Review: Best Value Pro Max? | Affordable Gadgets KE,The iPhone 15 Pro Max introduced the first 5x optical zoom on iPhone. We review if it's still worth buying in 2026. Available at Affordable Gadgets KE.,True,blog_content/batches/004-apple-iphone-15-series/004-iphone-15-pro-max.json,1693
iphone-14,iPhone 14,buying_guide,iPhone 14 Review: A Solid Choice for Budget Buyers in 2026,iPhone 14 Review: Best Budget iPhone 2026? | Affordable Gadgets KE,"Is the iPhone 14 still worth buying in 2026? We review its A15 chip, camera, and value as a budget iPhone option. Available at Affordable Gadgets KE.",True,blog_content/batches/004-apple-iphone-15-series/005-iphone-14.json,1944
iphone-14-plus,iPhone 14 Plus,buying_guide,iPhone 14 Plus Review: Big Battery on a Budget in 2026,iPhone 14 Plus Review: Budget Big iPhone | Affordable Gadgets KE,The iPhone 14 Plus offers the largest battery in the iPhone 14 series at an affordable price. Read our full review. Available at Affordable Gadgets KE.,True,blog_content/batches/005-apple-older-iphones/001-iphone-14-plus.json,1891
iphone-14-pro,iPhone 14 Pro,buying_guide,"iPhone 14 Pro Review: The Dynamic Island Pioneer, Still Great in 2026",iPhone 14 Pro Review: Dynamic Island Value | Affordable Gadgets KE,The iPhone 14 Pro introduced the Dynamic Island and 48MP camera. We review if it's still worth buying in 2026. Available at Affordable Gadgets KE.,True,blog_content/batches/005-apple-older-iphones/002-iphone-14-pro.json,1906
iphone-14-pro-max,iPhone 14 Pro Max,buying_guide,iPhone 14 Pro Max Review: A Flagship That's Aged Beautifully,iPhone 14 Pro Max Review: Still a Flagship in 2026 | Affordable Gadgets KE,"The iPhone 14 Pro Max remains a capable flagship in 2026. We review its Dynamic Island, 48MP camera, and A16 chip. Available at Affordable Gadgets KE.",True,blog_content/batches/005-apple-older-iphones/003-iphone-14-pro-max.json,1864
iphone-se-3rd-gen,iPhone SE(3rd Gen),buying_guide,"iPhone SE (3rd Gen) Review: The Last Home Button iPhone, Still Worth It?",iPhone SE 3 Review: Budget iPhone 2026 | Affordable Gadgets KE,The iPhone SE 3 is the most affordable iPhone with the A15 chip. Is it still worth buying in 2026? Read our review. Available at Affordable Gadgets KE.,True,blog_content/batches/005-apple-older-iphones/004-iphone-se-3rd-gen.json,2052
iphone-13,iPhone 13,buying_guide,iPhone 13 Review: Why It's Still a Great Buy in 2026,iPhone 13 Review: Best Budget iPhone 2026 | Affordable Gadgets KE,"The iPhone 13 offers excellent value in 2026 with the A15 chip, great camera, and reliable performance. Read our full review. Available at Affordable Gadgets KE.",True,blog_content/batches/005-apple-older-iphones/005-iphone-13.json,1917
iphone-13-pro,iPhone 13 Pro,buying_guide,iPhone 13 Pro Review: ProMotion on a Budget in 2026,iPhone 13 Pro Review: Best Value ProMotion iPhone | Affordable Gadgets KE,The iPhone 13 Pro brought 120Hz ProMotion to the masses. Is it still worth buying in 2026? Read our review at Affordable Gadgets KE.,True,blog_content/batches/006-apple-iphone-13-pro-12-series/001-iphone-13-pro.json,1945
iphone-13-pro-max,iPhone 13 Pro Max,buying_guide,"iPhone 13 Pro Max Review: The Battery King, Still Going Strong in 2026",iPhone 13 Pro Max Review: Best Battery iPhone 2026 | Affordable Gadgets KE,The iPhone 13 Pro Max offered legendary battery life. Is it still worth it in 2026? Read our review at Affordable Gadgets KE.,True,blog_content/batches/006-apple-iphone-13-pro-12-series/002-iphone-13-pro-max.json,1037
iphone-13-mini,iPhone 13 mini,buying_guide,iPhone 13 Mini Review: The Last True Compact Flagship,iPhone 13 Mini Review: Best Small Phone 2026 | Affordable Gadgets KE,The iPhone 13 mini is the last truly compact flagship iPhone. Is it still worth buying in 2026? Review at Affordable Gadgets KE.,True,blog_content/batches/006-apple-iphone-13-pro-12-series/003-iphone-13-mini.json,1073
iphone-12,iPhone 12,buying_guide,"iPhone 12 Review: The Design That Started a New Era, Still Worth It?",iPhone 12 Review: Flat-Edged iPhone Value 2026 | Affordable Gadgets KE,The iPhone 12 introduced the flat-edged design we know today. Is it still a good buy in 2026? Read our review at Affordable Gadgets KE.,True,blog_content/batches/006-apple-iphone-13-pro-12-series/004-iphone-12.json,1055
iphone-12-pro-max,iPhone 12 Pro Max,buying_guide,"iPhone 12 Pro Max Review: The Big Camera Leap, Still a Great Used Buy",iPhone 12 Pro Max Review: Best Used iPhone 2026 | Affordable Gadgets KE,The iPhone 12 Pro Max introduced a significantly larger camera sensor. Is it still worth buying in 2026? Read our review at Affordable Gadgets KE.,True,blog_content/batches/006-apple-iphone-13-pro-12-series/005-iphone-12-pro-max.json,1004
iphone-12-pro,iPhone 12 Pro,buying_guide,iPhone 12 Pro Review: Premium Build at a Budget Price in 2026,iPhone 12 Pro Review: Budget Premium iPhone | Affordable Gadgets KE,"The iPhone 12 Pro offers a stainless steel build, triple cameras, and LiDAR at a budget price in 2026. Read our review at Affordable Gadgets KE.",True,blog_content/batches/007-apple-older-iphones/001-iphone-12-pro.json,1074
iphone-12-mini,iPhone 12 mini,buying_guide,"iPhone 12 mini Review: Ultra-Compact, Still Usable in 2026",iPhone 12 mini Review: Small iPhone Value | Affordable Gadgets KE,The iPhone 12 mini packs flagship features into the smallest iPhone body. Is it still worth buying in 2026? Review at Affordable Gadgets KE.,True,blog_content/batches/007-apple-older-iphones/002-iphone-12-mini.json,811
iphone-11-pro,iPhone 11 Pro,buying_guide,iPhone 11 Pro Review: Premium Triple Cameras at a Bargain Price,iPhone 11 Pro Review: Budget Triple Camera iPhone | Affordable Gadgets KE,The iPhone 11 Pro introduced the triple-camera system. Is it still worth it in 2026? Read our review at Affordable Gadgets KE.,True,blog_content/batches/007-apple-older-iphones/003-iphone-11-pro.json,891
iphone-11-pro-max,iPhone 11 Pro Max,buying_guide,"iPhone 11 Pro Max Review: The First Pro Max, Still a Bargain",iPhone 11 Pro Max Review: Budget Big iPhone | Affordable Gadgets KE,The iPhone 11 Pro Max was Apple's first Max Pro. Is it still worth buying in 2026? Read our review at Affordable Gadgets KE.,True,blog_content/batches/007-apple-older-iphones/004-iphone-11-pro-max.json,747
iphone-11,iPhone 11,buying_guide,iPhone 11 Review: The Best Budget iPhone in 2026?,iPhone 11 Review: Ultra-Budget iPhone 2026 | Affordable Gadgets KE,The iPhone 11 remains one of the most affordable iPhones you can buy. Is it still usable in 2026? Read our review at Affordable Gadgets KE.,True,blog_content/batches/007-apple-older-iphones/005-iphone-11.json,812
iphone-7,iPhone 7,buying_guide,iPhone 7 Review: The Classic That Started Something New,iPhone 7 Review: Budget Classic iPhone | Affordable Gadgets KE,The iPhone 7 removed the headphone jack and introduced water resistance. Is it still usable in 2026? Read our review at Affordable Gadgets KE.,True,blog_content/batches/008-apple-vintage-iphones/001-iphone-7.json,696
iphone-7-plus,iPhone 7 Plus,buying_guide,iPhone 7 Plus Review: The First Dual-Camera iPhone,iPhone 7 Plus Review: First Dual Camera iPhone | Affordable Gadgets KE,The iPhone 7 Plus introduced Apple's first dual-camera system with Portrait mode. Is it still worth it in 2026? Review at Affordable Gadgets KE.,True,blog_content/batches/008-apple-vintage-iphones/002-iphone-7-plus.json,580
iphone-8,iPhone 8,buying_guide,"iPhone 8 Review: The Last of Its Kind, Still Around in 2026",iPhone 8 Review: Last Home Button iPhone | Affordable Gadgets KE,The iPhone 8 was the last iPhone with the classic home button design. Is it still usable in 2026? Review at Affordable Gadgets KE.,True,blog_content/batches/008-apple-vintage-iphones/003-iphone-8.json,707
iphone-8-plus,iPhone 8 Plus,buying_guide,iPhone 8 Plus Review: The Last True Home Button Flagship,iPhone 8 Plus Review: Last Home Button Big iPhone | Affordable Gadgets KE,The iPhone 8 Plus was the last big iPhone with the classic home button. Is it worth it in 2026? Read our review at Affordable Gadgets KE.,True,blog_content/batches/008-apple-vintage-iphones/004-iphone-8-plus.json,680
iphone-x,iPhone X,buying_guide,"iPhone X Review: The iPhone That Changed Everything, Still Around in 2026",iPhone X Review: Face ID Pioneer Still Available | Affordable Gadgets KE,The iPhone X introduced Face ID and the edge-to-edge OLED display. Is it still usable in 2026? Read our review at Affordable Gadgets KE.,True,blog_content/batches/008-apple-vintage-iphones/005-iphone-x.json,817
iphone-xr,iPhone XR,buying_guide,iPhone XR Review: The Colourful iPhone That Aged Surprisingly Well,iPhone XR Review: Budget iPhone 2026 | Affordable Gadgets KE,The iPhone XR brought Face ID and an OLED-like LCD to a lower price. Is it still worth buying in 2026? Review at Affordable Gadgets KE.,True,blog_content/batches/009-apple-xr-xs-acc/001-iphone-xr.json,920
iphone-xs,iPhone XS,buying_guide,"iPhone XS Review: The Refined Premium iPhone, Still Affordable in 2026",iPhone XS Review: Budget OLED iPhone | Affordable Gadgets KE,The iPhone XS refined the iPhone X formula with faster Face ID and better cameras. Is it worth it in 2026? Read our review at Affordable Gadgets KE.,True,blog_content/batches/009-apple-xr-xs-acc/002-iphone-xs.json,793
iphone-xs-max,iPhone XS Max,buying_guide,"iPhone XS Max Review: The First Big Premium iPhone, Still a Bargain",iPhone XS Max Review: Budget Large OLED iPhone | Affordable Gadgets KE,The iPhone XS Max was Apple's first large OLED iPhone. Is it still worth buying in 2026? Read our review at Affordable Gadgets KE.,True,blog_content/batches/009-apple-xr-xs-acc/003-iphone-xs-max.json,715
iphone-rhode-cover,iPhone Rhode Cover,buying_guide,iPhone Rhode Cover Review: Protect Your iPhone in Style in Kenya,iPhone Rhode Cover Review: Stylish Protection | Affordable Gadgets KE,"Protect your iPhone with the Rhode Cover from Affordable Gadgets KE. Premium protection that looks great. Available now in Nairobi, Kenya.",True,blog_content/batches/009-apple-xr-xs-acc/004-iphone-rhode-cover.json,921
iphone-lightning-earphones,iPhone lightning earphones,buying_guide,"iPhone Lightning Earphones Review: Wired Sound, Zero Hassle",iPhone Lightning Earphones Review: Wired Audio | Affordable Gadgets KE,"Original iPhone Lightning Earphones with high-quality audio and built-in remote. Available at Affordable Gadgets KE in Nairobi, Kenya.",True,blog_content/batches/009-apple-xr-xs-acc/005-iphone-lighting-earphones.json,757
apple-20w-usb-c-adapter,Adapter 20W,buying_guide,Apple 20W USB-C Adapter Review: Fast Charging for Your iPhone,Apple 20W Adapter Review: Fast Charge iPhone | Affordable Gadgets KE,"The Apple 20W USB-C power adapter delivers fast charging for iPhone 8 and newer. Available at Affordable Gadgets KE in Nairobi, Kenya.",True,blog_content/batches/010-apple-accessories/001-apple-20w-adapter.json,915
apple-35w-dual-usb-c-adapter,Adapter 35W,buying_guide,Apple 35W Dual USB-C Adapter Review: Charge Two Devices at Once,Apple 35W Dual Adapter Review: Charge Two Devices | Affordable Gadgets KE,The Apple 35W Dual USB-C Adapter charges two devices simultaneously. Perfect for iPhone + AirPods. Available at Affordable Gadgets KE.,True,blog_content/batches/010-apple-accessories/002-apple-35w-adapter.json,737
apple-c-lightning-cable,C-Lightning Cable,buying_guide,Apple C-Lightning Cable Review: Fast Charge & Sync for Your iPhone,Apple C-Lightning Cable Review: Genuine Apple | Affordable Gadgets KE,"The original Apple USB-C to Lightning cable supports fast charging and reliable syncing. Available at Affordable Gadgets KE in Nairobi, Kenya.",True,blog_content/batches/010-apple-accessories/003-apple-c-lighting-cable.json,854
apple-usb-a-to-lightning-cable,USB A-Lightning cable,buying_guide,Apple USB-A to Lightning Cable Review: Reliable Charging for Older Setups,Apple USB-A Lightning Cable Review | Affordable Gadgets KE,The original Apple USB-A to Lightning cable for standard charging and syncing. Available at Affordable Gadgets KE in Nairobi.,True,blog_content/batches/010-apple-accessories/004-apple-usb-a-lighting-cable.json,643
apple-3-in-1-wireless-charger,3 in 1 wireless charger,buying_guide,"Apple 3-in-1 Wireless Charger Review: Charge iPhone, Watch & AirPods Together",Apple 3-in-1 Wireless Charger Review | Affordable Gadgets KE,"Charge your iPhone, Apple Watch, and AirPods simultaneously with the 3-in-1 wireless charger. Available at Affordable Gadgets KE in Nairobi.",True,blog_content/batches/010-apple-accessories/005-apple-3-in-1-wireless-charger.json,717
apple-wireless-iphone-charger,Wireless iPhone Charger,buying_guide,Apple Wireless iPhone Charger Review: Convenient Cable-Free Charging,Wireless iPhone Charger Review | Affordable Gadgets KE,"Charge your iPhone wirelessly with the Apple wireless charger. Fast, convenient, and reliable. Available at Affordable Gadgets KE in Nairobi.",True,blog_content/batches/011-apple-more-accessories/001-wireless-iphone-charger.json,661
vacuum-magnetic-phone-stand,Vacuum Magnetic phone stand,buying_guide,Vacuum Magnetic Phone Stand Review: Hands-Free Viewing Anywhere,Magnetic Phone Stand Review | Affordable Gadgets KE,The Vacuum Magnetic Phone Stand securely holds your phone for hands-free viewing. Available at Affordable Gadgets KE in Nairobi.,True,blog_content/batches/011-apple-more-accessories/002-vacuum-magnetic-phone-stand.json,698
apple-watch-silicone-straps,Apple Watch Silicone Straps,buying_guide,Apple Watch Silicone Straps Review: Swap Your Style Instantly,Apple Watch Silicone Straps Review | Affordable Gadgets KE,"Original Apple Watch silicone straps in multiple colours. Comfortable, durable, and easy to swap. Available at Affordable Gadgets KE in Nairobi.",True,blog_content/batches/011-apple-more-accessories/003-apple-watch-silicone-straps.json,705
ipad-11-a16,iPad 11 A16,buying_guide,iPad 11 (A16) Review: The Best Value iPad in 2026,iPad 11 A16 Review: Best Budget iPad 2026 | Affordable Gadgets KE,The iPad 11 with A16 chip offers incredible value for students and casual users. Read our full review at Affordable Gadgets KE in Nairobi.,True,blog_content/batches/011-apple-more-accessories/004-ipad-11-a16.json,1167
macbook-air,Macbook Air,buying_guide,"MacBook Air Review: Apple's Ultraportable Laptop, Now in Kenya",MacBook Air Review: Best Ultraportable Laptop | Affordable Gadgets KE,"The MacBook Air combines M-series performance with all-day battery. Read our review. Available at Affordable Gadgets KE in Nairobi, Kenya.",True,blog_content/batches/011-apple-more-accessories/005-macbook-air.json,1124
travel-portable-stand,Travel Portable Stand,buying_guide,Travel Portable Stand Review: Your iPhone's Travel Companion,Travel Portable Stand Review | Affordable Gadgets KE,"Compact and foldable portable stand for iPhone. Perfect for travel, desk, and bedside. Available at Affordable Gadgets KE in Nairobi.",True,blog_content/batches/011-apple-more-accessories/006-travel-portable-stand.json,597
ipad-6th-gen,iPad 6th Gen,buying_guide,iPad 6th Gen Review: Reliable Tablet for Everyday Use in Kenya,iPad 6th Gen Review: Budget Tablet Kenya | Affordable Gadgets KE,The iPad 6th Gen offers a reliable tablet experience at an affordable price. Read our review at Affordable Gadgets KE in Nairobi.,True,blog_content/batches/011-apple-more-accessories/007-ipad-6th-gen.json,643
airpods-pro-3,AirPods Pro 3,buying_guide,"AirPods Pro 3 Review: Apple's Best Earbuds Yet, in Kenya",AirPods Pro 3 Review: Best Wireless Earbuds | Affordable Gadgets KE,The AirPods Pro 3 deliver best-in-class active noise cancellation and spatial audio. Read our review at Affordable Gadgets KE in Nairobi.,True,blog_content/batches/011-apple-more-accessories/008-airpods-pro-3.json,837
samsung-galaxy-s26,Galaxy S26,buying_guide,Samsung Galaxy S26 Review: The Flagship Evolution Continues,Samsung Galaxy S26 Review: Latest Flagship | Affordable Gadgets KE,The Samsung Galaxy S26 brings the latest processor and camera innovations. Read our full review. Available at Affordable Gadgets KE in Nairobi.,True,blog_content/batches/012-samsung-galaxy-s26-series/001-galaxy-s26.json,1127
samsung-galaxy-s26,Galaxy S26,buying_guide,"Samsung Galaxy S26+ Review: Bigger Screen, Bigger Battery",Galaxy S26+ Review: Large Flagship | Affordable Gadgets KE,The Galaxy S26+ offers a larger display and bigger battery than the standard S26. Read our review at Affordable Gadgets KE in Nairobi.,True,blog_content/batches/012-samsung-galaxy-s26-series/002-galaxy-s26-plus.json,618
samsung-galaxy-s26-ultra,Galaxy S26 Ultra,buying_guide,Samsung Galaxy S26 Ultra Review: The Ultimate Android Flagship,Galaxy S26 Ultra Review: Best Android Phone | Affordable Gadgets KE,"The Galaxy S26 Ultra is Samsung's most powerful phone with 200MP camera, S Pen, and the latest chip. Read our review at Affordable Gadgets KE.",True,blog_content/batches/012-samsung-galaxy-s26-series/003-galaxy-s26-ultra.json,1021
samsung-galaxy-s25,Galaxy S25,buying_guide,"Samsung Galaxy S25 Review: Compact Power, Premium Feel",Galaxy S25 Review: Compact Flagship | Affordable Gadgets KE,"The Galaxy S25 delivers flagship performance in a compact form. Read our review at Affordable Gadgets KE in Nairobi, Kenya.",True,blog_content/batches/012-samsung-galaxy-s26-series/004-galaxy-s25.json,685
samsung-galaxy-z-fold-7,Samsung Galaxy Z Fold 7,buying_guide,Samsung Galaxy Z Fold 7 Review: The Foldable Phone Matured,Galaxy Z Fold 7 Review: Best Foldable 2026 | Affordable Gadgets KE,"The Galaxy Z Fold 7 is Samsung's most refined foldable yet. Read our full review at Affordable Gadgets KE in Nairobi, Kenya.",True,blog_content/batches/012-samsung-galaxy-s26-series/005-galaxy-z-fold-7.json,927
samsung-galaxy-s25,Galaxy S25,buying_guide,"Samsung Galaxy S25+ Review: Big Screen, Pro Camera, Fast Chip",Galaxy S25+ Review: Large Samsung Flagship | Affordable Gadgets KE,The Galaxy S25+ offers a large 6.7-inch display and Snapdragon 8 Elite Gen 3 power. Read our review at Affordable Gadgets KE.,True,blog_content/batches/013-samsung-s25-s24/001-galaxy-s25-plus.json,579
samsung-galaxy-s25-ultra,Galaxy S25 Ultra,buying_guide,"Samsung Galaxy S25 Ultra Review: The S Pen Flagship, Still a Beast",Galaxy S25 Ultra Review: S Pen Flagship | Affordable Gadgets KE,The Galaxy S25 Ultra combines S Pen productivity with a 200MP camera and flagship chip. Read our review at Affordable Gadgets KE.,True,blog_content/batches/013-samsung-s25-s24/002-galaxy-s25-ultra.json,696
samsung-galaxy-s24,Galaxy S24,buying_guide,Samsung Galaxy S24 Review: AI-Powered Excellence at a Lower Price,Galaxy S24 Review: AI Phone Value | Affordable Gadgets KE,The Galaxy S24 introduced Galaxy AI features in a compact flagship. Read our review at Affordable Gadgets KE in Nairobi.,True,blog_content/batches/013-samsung-s25-s24/003-galaxy-s24.json,794
samsung-galaxy-s24,Galaxy S24,buying_guide,"Samsung Galaxy S24+ Review: Big AI, Big Display, Big Value",Galaxy S24+ Review: Large AI Phone | Affordable Gadgets KE,"The Galaxy S24+ offers a QHD+ display, larger battery, and Galaxy AI. Read our review at Affordable Gadgets KE in Nairobi.",True,blog_content/batches/013-samsung-s25-s24/004-galaxy-s24-plus.json,627
samsung-galaxy-s24-ultra,Galaxy S24 Ultra,buying_guide,"Samsung Galaxy S24 Ultra Review: Titanium, AI, and the S Pen Legacy",Galaxy S24 Ultra Review: Titanium Flagship | Affordable Gadgets KE,"The Galaxy S24 Ultra introduced titanium and Galaxy AI. Read our full review at Affordable Gadgets KE in Nairobi, Kenya.",True,blog_content/batches/013-samsung-s25-s24/005-galaxy-s24-ultra.json,842
samsung-galaxy-z-fold-6,Samsung Galaxy Z Fold 6,buying_guide,"Samsung Galaxy Z Fold 6 Review: Lighter, Slimmer, Smarter Foldable",Galaxy Z Fold 6 Review: Lightweight Foldable | Affordable Gadgets KE,The Galaxy Z Fold 6 is lighter and slimmer with the latest chip and improved cameras. Read our review at Affordable Gadgets KE.,True,blog_content/batches/014-samsung-fold-flip/001-galaxy-z-fold-6.json,659
samsung-galaxy-z-fold-5,Galaxy Z Fold5,buying_guide,Samsung Galaxy Z Fold 5 Review: The First Crease-Free Foldable,Galaxy Z Fold 5 Review: Improved Hinge | Affordable Gadgets KE,The Galaxy Z Fold 5 introduced a new hinge that reduces the crease. Read our review at Affordable Gadgets KE in Nairobi.,True,blog_content/batches/014-samsung-fold-flip/002-galaxy-z-fold-5.json,646
samsung-galaxy-z-fold-4,Samsung Galaxy Z Fold 4,buying_guide,Samsung Galaxy Z Fold 4 Review: Dual-Purpose Phone and Tablet,Galaxy Z Fold 4 Review: Foldable Value | Affordable Gadgets KE,The Galaxy Z Fold 4 offers a 7.6-inch inner display and multitasking prowess. Read our review at Affordable Gadgets KE in Nairobi.,True,blog_content/batches/014-samsung-fold-flip/003-galaxy-z-fold-4.json,564
samsung-galaxy-z-fold-3,Samsung Galaxy Z Fold 3,buying_guide,Samsung Galaxy Z Fold 3 Review: Water-Resistant Foldable at a Discount,Galaxy Z Fold 3 Review: First Waterproof Fold | Affordable Gadgets KE,The Galaxy Z Fold 3 was the first water-resistant foldable. Read our review at Affordable Gadgets KE in Nairobi.,True,blog_content/batches/014-samsung-fold-flip/004-galaxy-z-fold-3.json,594
