product_type,product_name,product_description,brand,model_series,is_published,default_selling_price
TB,iPad Mini 7 Cellular,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPad,true,91000
TB,"iPad Pro M4 11"" Cellular",Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPad,true,137000
TB,"iPad Pro M4 11"" WiFi",Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPad,true,127000
TB,"iPad Pro M4 13"" Cellular",Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPad,true,151000
TB,"iPad Pro M5 11"" Cellular",Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPad,true,152000
TB,"iPad Pro M5 11"" WiFi",Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPad,true,140500
PH,iPhone 13 SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,79000
PH,iPhone 14 SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,92000
PH,iPhone 15 Plus SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,101000
PH,iPhone 15 Pro SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,125000
PH,iPhone 15 SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,91000
PH,iPhone 15 SIM 2 Year Warranty,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,103500
PH,iPhone 16 Plus SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,113000
PH,iPhone 16 Pro Max SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,162000
PH,iPhone 16 Pro Max SIM Active,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated. Active SIM.,Apple,iPhone,true,175000
PH,iPhone 16 Pro Max SIM Natural,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,167500
PH,iPhone 16 Pro SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,140000
PH,iPhone 16 SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,98000
PH,iPhone 16E E-SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,88000
PH,iPhone 17 Air E-SIM 2 Year Warranty Blue/Black,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,127000
PH,iPhone 17 Air E-SIM Blue/Black,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,125000
PH,iPhone 17 Air E-SIM White/Gold,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,128500
PH,iPhone 17 E-SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,114000
PH,iPhone 17 Pro E-SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,162000
PH,iPhone 17 Pro Max E-SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,226000
PH,iPhone 17 Pro Max E-SIM All Colors,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,172000
PH,iPhone 17 Pro Max E-SIM Orange,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,203000
PH,iPhone 17 Pro Max E-SIM Silver/Blue,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,204000
PH,iPhone 17 Pro Max SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,189000
PH,iPhone 17 Pro SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,176000
PH,iPhone 17 Pro SIM 2 Year Warranty,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,177000
PH,iPhone 17 SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,118500
PH,iPhone 17 SIM 2 Year Warranty,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,120500
PH,iPhone 17E SIM,Official Apple Service Center warranty only. No in-house shop warranty. Non-activated.,Apple,iPhone,true,93500
PH,Pixel 10,Carrier-locked units only. No warranty.,Google,Pixel,true,90000
PH,Pixel 10 Pro,Carrier-locked units only. No warranty.,Google,Pixel,true,125000
PH,Pixel 10 Pro XL,Carrier-locked units only. No warranty.,Google,Pixel,true,128000
PH,Pixel 10A,Carrier-locked units only. No warranty.,Google,Pixel,true,69000
PH,Pixel 9 Pro XL,Carrier-locked units only. No warranty.,Google,Pixel,true,104000
PH,Pixel 9A,Carrier-locked units only. No warranty.,Google,Pixel,true,63500
PH,Honor 7D,Carrier-locked units only. No warranty.,Honor,7 Series,true,28000
PH,Honor H400,Carrier-locked units only. No warranty.,Honor,H Series,true,61000
PH,Honor H400 Pro,Carrier-locked units only. No warranty.,Honor,H Series,true,82000
PH,Honor Play10,Carrier-locked units only. No warranty.,Honor,Play,true,13300
PH,Honor X5B,Carrier-locked units only. No warranty.,Honor,X Series,true,13400
PH,Honor X5C,Carrier-locked units only. No warranty.,Honor,X Series,true,15500
PH,Honor X5C Plus,Carrier-locked units only. No warranty.,Honor,X Series,true,16800
PH,Honor X6c,Carrier-locked units only. No warranty.,Honor,X Series,true,20900
PH,Honor X7D,Carrier-locked units only. No warranty.,Honor,X Series,true,25500
PH,Honor X7c,Carrier-locked units only. No warranty.,Honor,X Series,true,24200
PH,Honor X9D,Carrier-locked units only. No warranty.,Honor,X Series,true,48000
PH,Infinix Hot 60 Pro,Carrier-locked units only. No warranty.,Infinix,Hot,true,21000
PH,Infinix Hot 60 Pro+,Carrier-locked units only. No warranty.,Infinix,Hot,true,28500
PH,Infinix Hot 60i,Carrier-locked units only. No warranty.,Infinix,Hot,true,16900
PH,Infinix Note 60 Pro,Carrier-locked units only. No warranty.,Infinix,Note,true,43800
PH,Infinix Note Edge,Carrier-locked units only. No warranty.,Infinix,Note,true,37900
PH,Infinix Smart 10,Carrier-locked units only. No warranty.,Infinix,Smart,true,13300
PH,Infinix Smart 20,Carrier-locked units only. No warranty.,Infinix,Smart,true,14700
PH,Itel A04,Carrier-locked units only. No warranty.,Itel,A Series,true,10300
PH,Itel A100c,Carrier-locked units only. No warranty.,Itel,A Series,true,12400
PH,Itel A200,Carrier-locked units only. No warranty.,Itel,A Series,true,14600
PH,Itel City 200,Carrier-locked units only. No warranty.,Itel,City,true,16700
PH,Itel P70,Carrier-locked units only. No warranty.,Itel,P Series,true,13800
PH,Itel S26 Ultra,Carrier-locked units only. No warranty.,Itel,S Series,true,25600
PH,Nothing Phone 3,Carrier-locked units only.,Nothing,Phone,true,87500
PH,Nothing Phone 3A Pro,Carrier-locked units only.,Nothing,Phone,true,65000
PH,OnePlus 13,Carrier-locked units only. No warranty.,OnePlus,13 Series,true,96000
PH,OnePlus 13s,Carrier-locked units only. No warranty.,OnePlus,13 Series,true,75500
PH,OnePlus 15,Carrier-locked units only. No warranty.,OnePlus,15 Series,true,109000
PH,OnePlus Nord CE 5,Carrier-locked units only. No warranty.,OnePlus,Nord,true,42000
PH,Oppo A3,Carrier-locked units only. No warranty.,Oppo,A Series,true,24400
PH,Oppo A3x,Carrier-locked units only. No warranty.,Oppo,A Series,true,18900
PH,Oppo A5,Carrier-locked units only. No warranty.,Oppo,A Series,true,25300
PH,Oppo A6 4G,Carrier-locked units only. No warranty.,Oppo,A Series,true,36700
PH,Oppo A6 Pro 4G,Carrier-locked units only. No warranty.,Oppo,A Series,true,45900
PH,Oppo A6X,Carrier-locked units only. No warranty.,Oppo,A Series,true,16200
PH,Oppo Reno 15 5G,Carrier-locked units only. No warranty.,Oppo,Reno,true,75000
PH,Oppo Reno 15 Pro 5G,Carrier-locked units only. No warranty.,Oppo,Reno,true,83800
PH,Oppo Reno 15F 5G,Carrier-locked units only. No warranty.,Oppo,Reno,true,62400
PH,Realme 12+,Carrier-locked units only. No warranty.,Realme,12 Series,true,49800
PH,Realme C100i,Carrier-locked units only. No warranty.,Realme,C Series,true,20300
PH,Realme C75,Carrier-locked units only. No warranty.,Realme,C Series,true,24400
PH,Realme C85 Pro,Carrier-locked units only. No warranty.,Realme,C Series,true,32200
PH,Realme Note 50,Carrier-locked units only. No warranty.,Realme,Note,true,15300
PH,Realme Note 60x,Carrier-locked units only. No warranty.,Realme,Note,true,15300
PH,Realme Note 70,Carrier-locked units only. No warranty.,Realme,Note,true,18900
PH,Redmi 15,Carrier-locked units only. No warranty.,Redmi,15 Series,true,20900
PH,Redmi 15C,Carrier-locked units only. No warranty.,Redmi,15 Series,true,17900
PH,Redmi A7,Carrier-locked units only. No warranty.,Redmi,A Series,true,14000
PH,Redmi A7 Pro,Carrier-locked units only. No warranty.,Redmi,A Series,true,15000
PH,Redmi Note 15,Carrier-locked units only. No warranty.,Redmi,Note,true,28700
PH,Redmi Note 15 Pro,Carrier-locked units only. No warranty.,Redmi,Note,true,41300
PH,Galaxy A06,Carrier-locked units only. No warranty.,Samsung,A Series,true,13500
PH,Galaxy A07,Carrier-locked units only. No warranty.,Samsung,A Series,true,15100
PH,Galaxy A16,Carrier-locked units only. No warranty.,Samsung,A Series,true,18700
PH,Galaxy A17,Carrier-locked units only. No warranty.,Samsung,A Series,true,20700
PH,Galaxy A17 4G,Carrier-locked units only. No warranty.,Samsung,A Series,true,26000
PH,Galaxy A17 5G,Carrier-locked units only. No warranty.,Samsung,A Series,true,28500
PH,Galaxy A36,Carrier-locked units only. No warranty.,Samsung,A Series,true,41000
PH,Galaxy A37,Carrier-locked units only. No warranty.,Samsung,A Series,true,42000
PH,Galaxy A56,Carrier-locked units only. No warranty.,Samsung,A Series,true,49500
PH,Galaxy A57,Carrier-locked units only. No warranty.,Samsung,A Series,true,51000
AC,Galaxy Buds 3,Carrier-locked units only. No warranty.,Samsung,Buds,true,13000
AC,Galaxy Buds 3 FE,Carrier-locked units only. No warranty.,Samsung,Buds,true,12700
AC,Galaxy Buds 3 Pro,Carrier-locked units only. No warranty.,Samsung,Buds,true,19000
AC,Galaxy Buds 4,Carrier-locked units only. No warranty.,Samsung,Buds,true,19000
AC,Galaxy Buds 4 Pro,Carrier-locked units only. No warranty.,Samsung,Buds,true,25599
AC,Galaxy Buds Core,Carrier-locked units only. No warranty.,Samsung,Buds,true,7500
PH,Galaxy S24,Carrier-locked units only. No warranty.,Samsung,S Series,true,68000
PH,Galaxy S24 FE,Carrier-locked units only. No warranty.,Samsung,S Series,true,54000
PH,Galaxy S25,Carrier-locked units only. No warranty.,Samsung,S Series,true,84000
PH,Galaxy S25 Edge,Carrier-locked units only. No warranty.,Samsung,S Series,true,87500
PH,Galaxy S25 FE,Carrier-locked units only. No warranty.,Samsung,S Series,true,71000
PH,Galaxy S25 Plus,Carrier-locked units only. No warranty.,Samsung,S Series,true,95000
PH,Galaxy S25 Ultra,Carrier-locked units only. No warranty.,Samsung,S Series,true,119000
PH,Galaxy S26,Carrier-locked units only. No warranty.,Samsung,S Series,true,100000
PH,Galaxy S26 Ultra,Carrier-locked units only. No warranty.,Samsung,S Series,true,139000
TB,Galaxy Tab A11 Cellular,Carrier-locked units only. No warranty.,Samsung,Tab A,true,26000
TB,Galaxy Tab A11 Plus Cellular,Carrier-locked units only. No warranty.,Samsung,Tab A,true,37000
TB,Galaxy Tab S10 FE Cellular,Carrier-locked units only. No warranty.,Samsung,Tab S,true,73000
TB,Galaxy Tab S10 FE WiFi,Carrier-locked units only. No warranty.,Samsung,Tab S,true,60000
TB,Galaxy Tab S10 Lite Cellular,Carrier-locked units only. No warranty.,Samsung,Tab S,true,68000
TB,Galaxy Tab S10 Ultra WiFi,Carrier-locked units only. No warranty.,Samsung,Tab S,true,116000
TB,Galaxy Tab S11 Ultra Cellular,Carrier-locked units only. No warranty.,Samsung,Tab S,true,155000
TB,Galaxy Tab S11 Ultra WiFi,Carrier-locked units only. No warranty.,Samsung,Tab S,true,122000
TB,Galaxy Tab S9 Cellular,Carrier-locked units only. No warranty.,Samsung,Tab S,true,100000
AC,Galaxy Watch 6 Classic 47mm,Carrier-locked units only. No warranty.,Samsung,Watch,true,24000
AC,Galaxy Watch 7 44mm,Carrier-locked units only. No warranty.,Samsung,Watch,true,24500
AC,Galaxy Watch 8 40mm,Carrier-locked units only. No warranty.,Samsung,Watch,true,29500
AC,Galaxy Watch 8 44mm,Carrier-locked units only. No warranty.,Samsung,Watch,true,31500
AC,Galaxy Watch 8 Classic 46mm,Carrier-locked units only. No warranty.,Samsung,Watch,true,30500
PH,Galaxy Z Flip 5,Carrier-locked units only. No warranty.,Samsung,Z Series,true,70000
PH,Galaxy Z Flip 7,Carrier-locked units only. No warranty.,Samsung,Z Series,true,119000
PH,Galaxy Z Fold 7,Carrier-locked units only. No warranty.,Samsung,Z Series,true,180000
AC,Samsung 25W Adapter,Carrier-locked units only. No warranty.,Samsung,Accessory,true,1000
PH,Tecno Camon 50,Carrier-locked units only. No warranty.,Tecno,Camon,true,37000
PH,Tecno Camon 50 Pro,Carrier-locked units only. No warranty.,Tecno,Camon,true,40900
PH,Tecno Camon 50 Ultra,Carrier-locked units only. No warranty.,Tecno,Camon,true,65000
PH,Tecno Pop 10,Carrier-locked units only. No warranty.,Tecno,Pop,true,13500
PH,Tecno Pop 20,Carrier-locked units only. No warranty.,Tecno,Pop,true,14200
PH,Tecno Spark 40 Pro,Carrier-locked units only. No warranty.,Tecno,Spark,true,22400
PH,Tecno Spark 50,Carrier-locked units only. No warranty.,Tecno,Spark,true,18800
PH,Vivo V60 Lite 4G,Carrier-locked units only. No warranty.,Vivo,V Series,true,36000
PH,Vivo V60 Lite 5G,Carrier-locked units only. No warranty.,Vivo,V Series,true,44000
PH,Vivo V70,Carrier-locked units only. No warranty.,Vivo,V Series,true,83800
PH,Vivo V70 FE,Carrier-locked units only. No warranty.,Vivo,V Series,true,60500
PH,Vivo Y04,Carrier-locked units only. No warranty.,Vivo,Y Series,true,15900
PH,Vivo Y04e,Carrier-locked units only. No warranty.,Vivo,Y Series,true,14100
PH,Vivo Y05,Carrier-locked units only. No warranty.,Vivo,Y Series,true,17500
PH,Vivo Y21D,Carrier-locked units only. No warranty.,Vivo,Y Series,true,20800
PH,Vivo Y28,Carrier-locked units only. No warranty.,Vivo,Y Series,true,24000
PH,Vivo Y31D,Carrier-locked units only. No warranty.,Vivo,Y Series,true,26900
PH,Xiaomi 17 Pro Max,Carrier-locked units only. No warranty.,Xiaomi,17 Series,true,135000
